Running Reward,Frame Count
312,8340000
315,8350000
314,8360000
316,8370000
303,8380000
316,8390000
319,8400000
323,8410000
325,8420000
329,8430000
326,8440000
337,8450000
336,8460000
332,8470000
328,8480000
333,8490000
315,8500000
312,8510000
317,8520000
314,8530000
320,8540000
337,8550000
340,8560000
345,8570000
360,8580000
371,8590000
373,8600000
363,8610000
345,8620000
340,8630000
337,8640000
330,8650000
316,8660000
317,8670000
317,8680000
313,8690000
303,8700000
294,8710000
289,8720000
279,8730000
277,8740000
286,8750000
284,8760000
296,8770000
303,8780000
312,8790000
325,8800000
331,8810000
331,8820000
341,8830000
332,8840000
326,8850000
324,8860000
315,8870000
326,8880000
329,8890000
307,8900000
311,8910000
323,8920000
320,8930000
314,8940000
311,8950000
330,8960000
335,8970000
343,8980000
336,8990000
334,9000000
340,9010000
327,9020000
326,9030000
327,9040000
322,9050000
322,9060000
324,9070000
320,9080000
320,9090000
333,9100000
334,9110000
338,9120000
318,9130000
308,9140000
307,9150000
290,9160000
294,9170000
293,9180000
301,9190000
301,9200000
311,9210000
321,9220000
321,9230000
312,9240000
312,9250000
310,9260000
303,9270000
300,9280000
302,9290000
302,9300000
306,9310000
302,9320000
304,9330000
305,9340000
296,9350000
307,9360000
311,9370000
324,9380000
326,9390000
328,9400000
332,9410000
340,9420000
339,9430000
330,9440000
324,9450000
323,9460000
318,9470000
298,9480000
298,9490000
334,9500000
324,9510000
295,9520000
287,9530000
292,9540000
294,9550000
290,9560000
283,9570000
289,9580000
302,9590000
306,9600000
308,9610000
313,9620000
318,9630000
326,9640000
318,9650000
320,9660000
324,9670000
323,9680000
314,9690000
311,9700000
317,9710000
317,9720000
306,9730000
305,9740000
317,9750000
324,9760000
321,9770000
319,9780000
314,9790000
308,9800000
294,9810000
279,9820000
271,9830000
276,9840000
275,9850000
282,9860000
284,9870000
288,9880000
290,9890000
303,9900000
300,9910000
298,9920000
304,9930000
314,9940000
321,9950000
323,9960000
313,9970000
319,9980000
324,9990000
322,10000000
